question,context,answer,keywords,category,intent,procedure
Can I inter-crop Hass Avocados with other Crops?,avocados,"As inter-cropping provides extra income, farmers can choose to have any kind of vegetable or pulse crops in the inter space. These crops may fix the nitrogen and suppress the weeds and increase the soil fertility. Only precaution should be taken care to grow the crops little far from an avocado plant. Therefore, Avocado orchards may be inter-cropped with other crops such as beans, peas, kale, or cabbage during the first 3-5 years to get economic returns from the land before the trees start bearing or produce economic returns.","inter-crop, Hass Avocados",crop cultivation,get insights,False
How do I control pests and diseases in my avocado farm?,avocados,"Biological pest control is by far the better option for avocado pests, as the incorrect use of agrochemicals on avocado trees could see minor pests develop into major economic risks. It is good to note that avocado orchards enjoy natural enemies (predators and parasites) that are able to maintain a biological balance. Cultural control is also effective depending on the level of infestation. When both the cultural and the biological control system are not working, selective use of chemical insecticides to control pests and diseases is necessary. This approach is referred to as IPM.

When you see diseases on the tree the damage is done. Early detection is a great plus. Anthracnose & collectrotrichum-On hass the symptoms will be seen as a bronzing, similar to mite damage on other crops, but has a small lesion and is described as “pepper spot”. These diseases are most likely to occur during the wet conditions. When the fruit is small, i.e. smaller than pegion egg size, it is not susceptible. Fruits bigger than this size is susceptible to infection at any time under favorable climatic conditions for the fungus.","control pests and diseases,  avocado farm",crop cultivation,know how,False
Should I Plant Two Different Varieties Of Avocados E.G Hass And Fuerte?,avocados,The type of avocado cultivars planted in an orchard will contribute to the expected yield. There are two types of avocado that flower at different times of the year (type A and type B). Mix both types in an orchard so that type A pollinates type B and vice visa. Hence cross pollination leads to higher yields than self-pollination. The presence of bee hives within the orchard is recommended as bees are the main pollinators of avocado. One should avoid applying chemicals that are harmful to bees.,"Varieties,  Avocados, Hass, Fuerte",crop cultivation,curious to know more,False
How Can I Avoid Flowers Abortion From My Hass Avocado Tree?,avocados,"Avocado trees naturally experience a fairly large degree of fruit drop and there’s nothing you can or should do about this. Often, less than 1 percent of the avocado tree’s flowers will end up growing into mature fruit. Excellent cultural care practices during the flowering and fruiting stages helps to maintain an acceptable level of fruit drop.","Flowers Abortion, Hass Avocado",crop cultivation,curious to know more,False
What is the importance of Artificial Insemination (AI)?,animal husbandry,AI is the technique in which semen is collected from the superior bulls and introduced into female reproductive tract at proper time with the help of instruments. The major advantage of AI over natural mating is that it permits the dairy farmer to use top proven sires for genetic improvement of his herd and control of venereal diseases. AI is also of tremendous value in making optimal use of different sires and enables dairy farmer to breed individual cows to selected sires according to their breeding goal.,"Artificial Insemination, importance ",livestock keeping,know what,False
What should be the weight and age of cows and buffalo heifers at the time of AI?,animal husbandry,"The weight and age of cow heifer should be 15-18 months and 275-300 Kg and that of buffalo heifers should be 26-30 months, 300-325 Kg at the time of first AI.","weight,  age, cows and buffalo heifers ,  AI",livestock keeping,know what,False
How the animals can be detected in heat?,animal husbandry,"The animals should be watched carefully for heat symptoms for half an hour atleast in the morning (5-7 AM) and evening (between 8-10 PM). The common heat symptoms in dairy animals are mounting behavior, mucus discharge from genitalia, restlessness, swelling of vulva, loss of appetite, bellowing, frequent urination and fall in milk yield.","animals, detected, heat",livestock keeping,know how,False
How the quality of semen can be assured?,animal husbandry,Quality semen should be procured from the well established breeding centers and stored properly in liquid nitrogen containers. These containers should be regularly watched for gas level. The semen should be thawed at 30-35oC for 30 sec just before loading to AI gun and insemination. Loaded gun should be protected from direct sun light and hygienic conditions should be maintained during AI.,"quality, semen",livestock keeping,know how,False
What is the ideal time of AI?,animal husbandry,"As a thumb rule, animals coming in heat in the morning should be inseminated in the same evening and those coming in heat in the evening should be inseminated in the next morning. The animals remaining in heat for 24-36 hour should be inseminated 12-18 hrs after the onset of heat symptoms at least two times at an interval of 12 hrs apart.","ideal time, AI",livestock keeping,know when,False
What is the ideal time for animal to get pregnant after calving?,animal husbandry,Following parturition the cow or buffalo should conceive between 80-100 days to maintain the calving interval of nearly one year.,"ideal time, pregnant, calving",livestock keeping,know when,False
	What is the ideal time for pregnancy diagnosis after insemination?,animal husbandry,The inseminated cow or buffalo not showing heat symptoms should be examined for pregnancy diagnosis two months after the AI.,"ideal time, pregnancy diagnosis, insemination",livestock keeping,know when,False
Why a cow/buffalo fails to get pregnant after repeated services/inseminations?,animal husbandry,"This could be due to:
Uterine infections
Hormonal aberrations
Nutritional deficiencies
Wrong time of AI and use of poor quality semen","cow/buffalo, pregnant,  services/inseminations",livestock keeping,know why,False
Why some cows show heat symptom for 5-6 days?,animal husbandry,"This could be due to hormonal imbalance leading to delayed ovulation or formation of follicular cyst on the ovary. To diagnose the condition, the animal needs to be examined by veterinarian for status of genital organs particularly ovaries. Ultrasonography of ovaries and hormonal analysis of blood is also carried to diagnosis the condition and to decide line of treatment.","cows, heat symptom",livestock keeping,know why,False
Why a cow/buffalo is not cured for dirty discharge even after intrauterine medications?,animal husbandry,"The cervico-vaginal mucus discharge of that animal should be tested for microbial isolation and drug sensitivity test. Depending upon the report, the treatment should be done.","cow/buffalo, dirty discharge, intrauterine medications",livestock keeping,know why,False
What is the relation of post service bleeding & conception?,animal husbandry,This type of bleeding is normal physiological in some of crossbred cows and is known as metestral bleeding. There is no relationship between metestral bleeding and conception failure. Rather this is a positive sign indicating that the animal has ovulated. The animal needs to be examined thoroughly to find the exact cause of conception failure.,"post service bleeding, conception",livestock keeping,know what,False
What are the causes of abortions in cattle & buffalo?,animal husbandry,"Abortion can occur in dairy animals due to following causes:
Deficiency of progesterone in early gestation.
Bacterial, viral and protozoan infections e.g. Brucellosis, Leptospirosis, Vibriosis, IBR– IPV, Trichomoniasis.
Feeding of toxic plants and fungus infested feed.
High fever.
Injury to the abdomen.
Misuse of drugs/hormones.
Infected animal should be segregated and handled separately away from the healthy animals.","abortions, cattle, buffalo",livestock keeping,know what,False
What is anestrus?,animal husbandry,"It is the inability of the animal to show signs of heat due to inactive ovaries. It can be of different types like true anestrus, summer anestrus, postpartum anestrus and silent heat",anestrus,livestock keeping,know what,False
What are the main causes of anestrus?,animal husbandry,"The different causes of anestrus are poor nutrition, hormonal imbalance, infectious diseases, anatomical defects, lactation, suckling and poor management.",anestrus,livestock keeping,know what,False
Why do some animals fail to come into heat for long period after parturition?,animal husbandry,"This problem is more common in high yielding animals because a lot of energy is required for the parturition process as well as production after delivery. So animal looses weight. Therefore, good management through proper nutrition is required to meet the energy status of the animal and restore the reproductive performance of high yielding dairy animals.","heat, parturition",livestock keeping,know why,False
Why dairy animals especially buffaloes do not show estrus in summer season?,animal husbandry,"The main reason is due to heat stress and lack of green fodder availability. Farmers are advised to reduce stress by keeping animals in shady areas especially under trees, providing fans/coolers and clean drinking water facilities in the shed. Provision of green fodder (Hay/silage can be used as an alternative in summer months) and allowing the animals for wallowing in ponds especially to buffaloes are also helpful to reduce the effect of summer stress.","dairy animals, buffaloes, estrus, summer",livestock keeping,know why,False
"In certain buffaloes some mucus discharge is observed however, no prominent signs of",animal husbandry,"In this condition the animal has functional ovaries, comes in heat regularly but it does not show the external behavioral signs of heat. Animal is usually cyclic and the owner should go for mating of their animals. Farmers are also advised to keep a close observation on the affected animals.","buffaloes, mucus discharge",livestock keeping,know why,False
Should hormonal therapy be used for onset of estrus?,animal husbandry,"Hormones are effective only if the nutrition is balanced. Therefore, farmers are advised to check the nutrition of their animals regularly, before giving any other treatment. The hormonal treatment should always be administered in consultation with veterinary doctor.","hormonal therapy, estrus",livestock keeping,clear a doubt,False
Most buffalo heifers do not come in estrus at less than 3 years of age?,animal husbandry,"Generally such animals have a poor body weight. Normal body weight should be around 275 300 kg in case of buffalo heifers for onset of estrus. Therefore, feed good balanced diet as well as go for deworming of animals in order to have early onset of estrus.","buffalo heifers, estrus ",livestock keeping,clear a doubt,False
What is mastitis?,animal diseases,Mastitis is inflammation of udder/ mammary gland characterized by change in milk.,mastitis,livestock keeping,know what,False
What should I do after onset of Mastitis?,animal diseases,"If it is possible, milk sample for culture sensitivity test (CST) (to know the sensitive antibiotics) should be submitted before starting treatment. Broad spectrum antibiotic and supportive treatment with consultation of veterinarian should be given to the animal. If antibiotics are already being given to the animal, the milk sample should be submitted 4 days after end of therapy.",mastitis,livestock keeping,know what,False
How should I take the milk sample for testing to the laboratory?,animal diseases,"	You should collect the milk sample in sterilized test tubes or in sterilized vials. The test tube should be labeled appropriately. At least 5 ml of milk sample should be submitted to the laboratory as early as possible. If delay is expected, samples should be kept in ice-container. Udder should be cleaned and soaked with neat piece of cloth. Teat orifice should aseptically be cleaned. Before taking sample in test tube, first few strippings (1-2 strippings) should be discarded.","milk sample, laboratory",livestock keeping,know how,False
What should I do to avoid infection during dry period?,animal diseases,"As there is no specific dry cow therapy available in India, one should take care of the managemental aspects. If prevalence of infection in the herd is high, all the animals at drying- off should be injected with Intra-mammary infusions.","infection, dry period",livestock keeping,know what,False
What should I do to avoid recurrence of mastitis?,animal diseases,"Individual animal should be treated and her udder immunity enhanced by using mineral mixture of standard quality, cleaning of udder before milking, milking of infected teat at the end and teat dipping after milking.. Milk samples should be tested regularly after 15 days using SLS paddle test. The positive animal’s milk samples should be tested for CST in the laboratory. Treatment of sub-clinical case is more desirable.","recurrence, mastitis",livestock keeping,know what,False
Why does the swelling of udder occur just after calving while there was no sign during late pregnancy?,animal diseases,There are chances of subclinical mastitis at drying-off and during dry period. This infection gets flared-up after parturition due to certain stress factors.,"swelling of udder,  after calving",livestock keeping,know why,False
What is the treatment of udder/teat fibrosis?,animal diseases,"Udder/ teat fibrosis occurs as a result of chronic infection. Treatment of udder and teat fibrosis in that particular lactation can result into resolution to some extent, but chances of recovery may be expected in the next lactation when new lacteal tissue formation will ensue.","udder, teat, fibrosis, treatment",livestock keeping,know what,False
There is problem of warts over the teat of animals. How to treat it?,animal diseases,"Please, Consult nearest available qualified veterinarian for treatment.","warts, teat of animals",livestock keeping,know how,False
I have a buffalo which has developed sores at the base of teat since one month. Milk yield is normal. Advise me appropriate treatment.,animal diseases,"This problem is usually chronic running for many months. The best treatment for this is to apply antiseptic solutions like Betadine/Povidine regularly. If no recovery occurs apply a powder mixed in equal parts containing boric acid, kaolin and zinc oxide once daily. The healing in such cases is slow and takes 3-4 weeks. Do not use antibiotics, which will increases the cost of treatment only.","buffalo, sores, teat",livestock keeping,get insights,False
What are the mastitis control measures?,animal diseases,"The important features of a successful mastitis control programme are:
 Regular testing of animals for subclinical mastitis
 Adopt hygiene measures
Post-milking teat dipping be adopted
Follow Dry cow therapy
Increase udder resistance to mastitis","mastitis, control",livestock keeping,know what,False
What is Post-milking teat dipping?,animal diseases,"The teats of all the lactating cows and dry cows (during first 10-14 days of dry period) are dipped regularly after every milking in a germicidal solution. The recommended teat dips are
Iodine (0.5%) solution 6 parts + Glycerine 1 part
Chlorhexidine (0.5%) solution 1 Litre + Glycerine 60 ml
The iodine teat dip is the best as it treats various types of teat lesions and injuries also.","Post-milking, teat dipping",livestock keeping,know what,False
What is Hematuria?,animal diseases,"It is the presence of blood in urine and can be due to many reasons like phosphorus deficiency, Babesia infection, etc.",Hematuria,livestock keeping,know what,False
What is leucoderma?,animal diseases,It is associated with copper deficiency.,leucoderma,livestock keeping,know what,False
What are the clinical signs of copper deficiency?,animal diseases,"The clinical signs are as follows:
Unthriftiness
Change in hair colour or leucoderma
Anaemia
Chronic diarrhoea
Chronic lameness
Neonatal ataxia","signs, copper deficiency",livestock keeping,know what,False
How we can diagnose and treat the copper deficiency?,animal diseases,We can diagnose the copper deficiency by low serum and hepatic copper concentration and response to treatment. Copper deficiency can be treated by oral administration of copper sulphate or inj. copper glycnate . Consult any nearest available veterinarian for this purpose.,"diagnose, copper deficiency",livestock keeping,know how,False
My cow calved last night and is now unable to get up.,animal diseases,"Many times high yielder cows suffer from milk fever after parturition which is due to calcium deficiency. Following calcium treatment, there is quick recovery.","cow, calved",livestock keeping,know why,False
What is the management of hyperthermia?,animal diseases,"Give bath to the animals (4-5 times/day) during summer.
Feed during early hours of the day
Contact a qualified veterinarian for the treatment, if infections are suspected",hyperthermia,livestock keeping,know what,False
What are the common causes of high body temperature (hyperthermia) in cattle during summer season?,animal diseases,"Infectious diseases like haemorrhagic septicaemia, foot and mouth disease and black quarter etc.
Haemoprotozoan diseases like Anaplasmosis, Theileriosis and Babesiosis besides high environmental temperature are common causes of high rise in body temperature during summer season.","hyperthermia, cattle, summer",livestock keeping,know what,False
What are the clinical signs of hyperthermia?,animal diseases,"High fever (1050-1070F)
Panting
Marked decrease in appetite
Loss of milk yield
Temperature is normal in early hours of the day but as the day temperature rises body temperature of animal also increases.","clinical signs, hyperthermia",livestock keeping,know what,False
Does excess fluoride is also harmful for animals?,animal diseases,"Yes. Excess fluoride intake can produce harmful effects in animals also, though clinical signs may be absent in mild cases. Flourosis is common in animals reared in district Mansa, Bathinda, Ferozpur and Sangrur.","fluoride, animals",livestock keeping,clear a doubt,False
What are different clinical signs of fluorosis?,animal diseases,"Clinical signs of fluorosis include changes in teeth and bones. Teeth become brown-blackish and loose. Bones become weak and prone to fracture. The animal shows weakness, lameness, reduced appetite and weight loss.","clinical signs, fluorosis",livestock keeping,know what,False
What are different sources of excess fluoride for animals?,animal diseases,Water containing excessive fluoride concentration is the major source. Poor quality mineral mixture or dust coming out from brick kilns or other industry are other sources.,"excess fluoride, animals",livestock keeping,know what,False
Is fluorosis fully curable?,animal diseases,"No. Changes in bone and teeth are irreversible and can not be fully cured. However, animals sufferings can be reduced after treatment.","fluorosis, curable",livestock keeping,get insights,False
How fluorosis can be prevented or treated?,animal diseases,Remove sources of excess fluoride. Do not give deep bore well water; rather give water from ponds (surface water). Give calcium carbonate or good quality mineral mixture after consulting the veterinarian.,"fluorosis, prevented, treated",livestock keeping,know how,False
Why impaction is very much prevalent in dairy animals?,animal diseases,It is due to lack of green fodder in diet or giving excess Jowar/maize straw(Kutti). Ingestion of sharp metallic foreign bodies in cattle and buffalo may also be responsible.,"impaction, dairy animals",livestock keeping,know why,False
What should be done to avoid impaction in cattle and buffaloes?,animal diseases,"Feed green fodder mixed in Kutti throughout the year. Avoid access of animals to nails, needles, wires and sharp farm equipment parts etc.","avoid impaction, cattle, buffaloes",livestock keeping,know what,False
What is first aid before reaching hospital?,animal diseases,Tie and confine the animal to one place. Make available ample of drinking water throughout the day and seek the advice of veterinarian as soon as possible.,"first aid, hospital",livestock keeping,know what,False
Whether there is any affect on reproduction/fertility?,animal diseases,"Yes, due to pain animal does not express signs of heat. It is related with reproduction failure.","reproduction, fertility",livestock keeping,clear a doubt,False
How farmers can control/ check lameness?,animal diseases,"Always undertake hoof trimming every six months.
Always feed mineral mixture regularly.
Take the help of a qualified veterinary doctor if problem is severe/clinical.
Contact your nearest Veterinary Doctor if the problem is consistent or persistant.","control, lameness",livestock keeping,know how,False
What are the common diseases prevalent in Punjab against which we should go for vaccination?,animal diseases,"Animals should be vaccinated for Foot and Mouth disease (FMD), Haemorrhagic Septicaemia (H S), Black Quarter(BQ) and brucellosis. Consult the veterinarian for this purpose regularly.","Punjab, common diseases",livestock keeping,know what,False
Precautions to be taken while vaccinating the animals?,animal diseases,Vaccines should be procured from reliable source. Cold chain should be maintained from purchase of vaccine till its administration. Don’t put vaccine in direct heat and sunlight.,"Precautions, vaccinating",livestock keeping,know what,False
At what age we should start deworming in our animals.,animal diseases,At the age of < 1 month we should start deworming.,"age, deworming",livestock keeping,know when,False
There is serious problem of ticks in our animals. How to control it.,animal diseases,Apply Butox/Taktic/Cypermethrin @ 3ml/liter of water over the body of affected animals. The same solution should be sprayed in the animal premises. Avoid spraying the medicine in mangers. Animal should not lick the medicine during application.,"ticks, control",livestock keeping,know how,False
There is problem of blood in milk recently after parturition. What is the treatment for it ?,animal diseases,Some time it is physiological and automatically resolves within few days. Milk sample can also be sent to the mastitis lab. In the department of Clinical Veterinary Medicine for cultural sensitivity examination.,"parturition, treatment",livestock keeping,know what,False
My buffalo is suffering from diarrhea from last two months. Initially diarrhea was intermittent. Milk yield and appetite is normal.,animal diseases,"Get the dung sample tested for worms and a disease known as “Johne’s disease”. If the report shows Johne’s disease, isolate the animal so that feeding and watering of the animals is not with other animals.",diarrhea,livestock keeping,get insights,False
There is problem of diarrhea in calves at our farm. What should be done to control/minimize it ?,animal diseases,"New born calf should be fed first milk “colostrum” within 6-12 hour after birth @ 10% of the body weight of the calf. Calves should be kept in comfortable environment. Clean the calf shed daily with Chlorasol disinfectant or any other suitable disinfectant. Diarrheic calves should be kept separate from healthy calves. Diarrheic calves should be treated with parenteral/oral fluids, antibiotics, herbal antidiarrheals under the supervision of a veterinarian.","diarrhea, calves, control",livestock keeping,know how,False
Milk yield of the cow has been reduced for the past few days. How to increase it?,animal diseases,"First of all send the milk sample to Vety Hospital for diagnosis of infection in the udder. After that deworm the animal with broad spectrum dewormers like albendazole, fenbendazole, ivermectin to make the animal free from endoparasites in consultation with the Veterinarian. Provide good quality feed including green fodder, concentrate and mineral mixture as per the milk yield of the animal.","Milk yield, reduced, increase",livestock keeping,know how,False
What should be done if an animal has consumed a poisonous substance?,animal diseases,"If an animal is suspected of consuming something poisonous, local veterinarian should be contacted/consulted immediately. Samples can be submitted in the lab by qualified veterinarians only.",poisonous substance,livestock keeping,know what,False
Which are the potentially harmful substances that can poison the animals?,animal diseases,"Medicines including pain killers, cold and flu preparations and antidepressants.
Insecticides such as flea and tick preparations and insect baits. Some species of animals can be particularly sensitive to certain types of insecticides, so it is vital to follow label instructions exactly.
Common household cleaners such as bleaches, detergents and disinfectants that may cause gastrointestinal distress and irritation to the skin, eyes or respiratory tract.","poison, substances",livestock keeping,know what,False
What information should be collected while investigating a toxicity case?,animal diseases,"During toxicological investigations, the following information can be of utmost help:
The number of animals in a herd/group that may have been exposed.
The number of animals exhibiting toxicity symptoms or lethality.
The species/breed of affected animals along with their age, sex and pregnancy status.
The clinical signs exhibited by the animals viz. body temperature, color of stool, blood and urine, physical condition and neurological symptoms.
History of feeding patterns of the animal along with any previous ailments.
Circumstantial evidence should also be obtained for ruling out any malicious causes of poisoning.","information, collected, toxicity",livestock keeping,know what,False
What are the symptoms/signs of nitrate toxicity in cattle?,animal diseases,"In acute nitrate poisoning, the cattle are often observed to be normal one day and dead the next day. This occurs within 30 minutes to 4 hours of ingestion of plants high in nitrates. Initial signs include salivation followed by frequent urination. These are followed by difficult breathing, increased respiratory rate and dark brown or “chocolate” colored blood and mucous membranes. The animals become weak and reluctant to move and may exhibit convulsions before death. Exposed pregnant cattle usually abort soon after recovering.","symptoms, nitrate toxicity",livestock keeping,know what,False
What are the main causes of nitrate toxicosis?,animal diseases,"The most important cause of nitrate/nitrite toxicity is the presence of high levels of nitrates (or nitrites) in the feed or water. These compounds are converted to nitrites in the rumen of cattle, which are absorbed across the rumen wall into the blood stream. The nitrite in blood reacts with hemoglobin to form a compound, methemoglobin, which lacks the oxygen-carrying capacity. Thus, the animal dies because of oxygen deficit to the vital organs of the body.","causes, nitrate toxicosis",livestock keeping,know what,False
Where do the nitrates come from?,"manure, fertilizers and soil nutrients","Nitrates are concentrated in water sources from fertilizer run-offs, decaying organic matter, animal wastes or other sources of nitrogen. The nitrates are generally higher after periods of excess runoff after fertilization or after heavy rainfalls. Occasionally, deep, drilled wells can have high levels of nitrates. In addition, certain weeds such as Johnson grass and nightshade are also high in nitrates. Almost any crop can have high nitrate levels however, Sudan grass hay and oat hay are more likely to have levels of nitrates that are potentially toxic.",nitrates,general questions,know where,False
When is the nitrate toxicity suspected?,animal diseases,"Nitrate toxicity problem should be suspected in cases of acute animal death after a recent change in feeding practices (oat hay, Sudan grass hay, etc), change in water supply, moving from one field to another, etc. However, differential diagnosis should be done ruling out other common causes of acute death in cattle, such as red water disease, anaplasmosis and other toxicities. For confirmation of nitrate toxicity, rumen samples, feed samples as well as water samples are routinely analyzed.",nitrate toxicity,livestock keeping,know when,False
What is the treatment of nitrate toxicity?,animal diseases,"The animal should be provided veterinary aid immediately. The antidote for nitrate toxicity is methylene blue, a chemical that restores the hemoglobin content of blood. However, the efficacy of this antidote is higher if administered in the early stages of toxicosis. The survival rate is indirectly proportional to the time spent in seeking veterinary aid.",nitrate toxicity,livestock keeping,know what,False
How can nitrate toxicity be prevented?,animal diseases,"Under normal circumstance, animals usually do not consume weeds high in nitrate content. These weeds are taken up by animals only during periods of drought or due to lack of quality forage. Therefore, thorough testing of feed and water is essential in drought and high-risk areas. In addition, animals should be exposed to these forages gradually over a period of time.","nitrate toxicity,  prevented",livestock keeping,know how,False
What are the main routes of exposure to pesticides in animals?,animal diseases,"Animals can be exposed to pesticides either by absorption through the skin or eyes (dermally), through the mouth (orally) or through the lungs (inhalation).","routes of exposure, pesticides ",livestock keeping,know what,False
Which are the most commonly used insecticides?,pests control & herbicides,Pesticide poisoning cases usually involve either organophosphate or carbamate insecticides. Some commonly used organophosphate and carbamate insecticides are enlisted below: Organophosphates Carbamates Malathion Sevin Parathion Carbaryl Chlorpyrifos Carbofuran Monocrotophos Triazophos Fenamiphos," insecticides, commonly ",general questions,know what,False
What are some common signs associated with organophosphate or carbamate insecticide poisoning?,animal diseases,"Mild exposures:
fatigue, dizziness, loss of appetite, diarrhea
blurred vision associated with excessive lacrimation
contracted eye pupils
 excessive sweating and salivation
 slow heart beat (< 50 per minute)
rippling of surface muscles just under the skin.
Moderately severe: all the signs found in mild poisonings, but in addition, the animal:

is unable to walk;
exhibits marked constriction of the pupils (pinpoint pupils);
exhibits muscle twitching;
has involuntary urination and bowel movement.
Severe poisonings are indicated by incontinence, unconsciousness and seizures. The order in which these symptoms appear may vary, depending on how contact is made with the insecticide. If the product is swallowed, stomach and other abdominal manifestations commonly appear first; if it is absorbed through the skin, gastric and respiratory symptoms tend to appear at the same time.","organophosphate, carbamate, insecticide poisoning",livestock keeping,know what,False
Which pyrethroid insecticides are commonly used in agriculture and Veterinary Practices?,animal diseases,"Some of the commonly used pyrethroid insecticides are:
Allethrin  Cyfluthrin
Cypermethrin Deltamethrin
Esfenvalerate Fenvalerate
Flucythrinate Fluvalinate
Permethrin  Resmethrin
Tetramethrin Tralomethrin","pyrethroid insecticides, agriculture, Veterinary",livestock keeping,know what,False
What should be done in a suspected case of pesticide poisoning in animals?,animal diseases,"A veterinarian should be immediately consulted and the following information should be made available:
Trade name of the pesticide ingested/inhaled.
Estimated amount of toxin ingested.
Time lapsed since the ingestion of poison
Signs of toxicity produced – vomition, salivation, convulsions etc.
Gross observations – such as color of gums, respiratory rate, heart rate, body temperature.","pesticide poisoning, animals",livestock keeping,know what,False
What is the need to mix whole blood tubes or separate the serum immediately after collection?,animal diseases,"	The EDTA or heparin added in whole blood tubes to prevent blood clotting does not automatically blend with the blood, so unmixed samples will still clot. During cold weather or if packed in ice, clots in serum tubes will hemolyze, thus altering test results.","blood tubes, serum, collection",livestock keeping,know what,False
Which are the plants that are toxic to animals and shouldn’t be kept around the house?,animal diseases,"The common plants which are poisonous to animals are:
Lantana
Oleander/ Kaner
Lilies
Castor Bean
Marijuana
Kalanchoe
Sago Palm
Amaryllis
Tulip
Datura
Azalea/ Rhododendron
Chrysanthemum","toxic, house",livestock keeping,know what,False
What are the most common food hazards for the pets?,animal diseases,"The following foods should never be given to pet animals:
Alcoholic beverages
Chocolate (all forms)
Coffee (all forms)
Fatty foods
Nuts, Moldy or spoiled foods
Onions, onion powder
Raisins and grapes
Salt, Yeast dough, Garlic
Products sweetened with xylitol","food hazards, pets",livestock keeping,know what,False
What are the common symptoms of parasitic diseases?,animal diseases,"Reduced or no feed and water intake, dullness, rough body coat, fever, diarrhea, loss of production (milk, meat/wool etc.), and presence of vectors/intermediate hosts.","symptoms, parasitic, diseases",livestock keeping,know what,False
How to diagnose these various parasitic diseases?,animal diseases,"For diagnosis of the parasitic infections/infestations examination of faecal, blood and skin scrapings is necessary. This should be done in a well equipped laboratory viz.","diagnose , parasitic, diseases",livestock keeping,know how,False
How to send the samples for diagnosis of various parasitic diseases?,animal diseases,"Blood should be sent well mixed in EDTA or methanol fixed blood smear can be sent; faeces should be sent in 10% formalin and skin scrapings in 10% potassium hydroxide solution. With any one of the above sample, information like type of animal; age of animal; sex of animal; clinical symptoms etc should be provided.","samples, diagnose , parasitic, diseases",livestock keeping,know how,False
What are the clinical signs of (surra) and what is the causative organism?,animal diseases,"	Surra is caused by a blood protozoa, Trypanasoma evansi and the signs are as follows: Horse: Intermittent fever, emaciation, oedema varying from urticarial plaques on the neck and flanks to legs and lower parts of the body, haemorrhages at the junction of skin and mucus membrane especially at nostrils, eyes and anus. Dogs: Fever, marked oedema, corneal opacity, change in voice and death. Cows and Buffaloes: Dullness, sleepiness, rise in temperature may be seen, staggering gait, eyes staring wide open, hard and noisy breathing, circling movements, nervous excitement, hitting of head against hard objects, apparent blindness, stamping of feet, bellowing, groaning, frequent micturition, profuse salivation, muscle twitching, shivering of body and coma and death.","clinical signs, surra, organism",livestock keeping,know what,False
What are the clinical signs of babesiosis and red water fever?,animal diseases,"Cows and Buffaloes: High grade fever, haemoglobinuria, profound anaemia and profuse diarrhoea followed by marked constipation and death. Horses: High grade fever, anaemia, listlessness, depression, haemoglobinuria (may be present or absent) and posterior paralysis (may be present or absent) and death. Dogs: High grade fever, malaise, listlessness, depression, disinclination to move, anorexia, jaundice and pale mucus membranes and death.","clinical signs, babesiosis, red water fever",livestock keeping,know what,False
What are the clinical signs of Theileriosis?,animal diseases,"Cows and Buffaloes: Marked rise in temperature, depression, emaciation, lacrymation, nasal discharge and swelling of superficial lymph nodes and death.","clinical signs, Theileriosis",livestock keeping,know what,False
What are the clinical signs of Anaplasmosis?,animal diseases,"Anorexia, high fever, jaundice, severe anaemia, dysponea and death.","clinical signs, Anaplasmosis",livestock keeping,know what,False
What are the important signs of coccidiosis?,animal diseases,"Sheep and goats: Young animals up to the age of 4-6 months are affected; brownish to yellowish green diarrhoea which may be streaked with blood, abdominal pain, anaemia, inappetence, weakness and loss of weight and death.
Cows and Buffaloes: Young animals up to the age of 3 weeks to 6 months are affected; abdominal pain, foul smelling diarrhoea with or without blood and masses of mucus and clots of blood, rough coat, droopy ears, listlessness, partial paralysis of anal sphincter, weakness, rectal tenesmus, anaemia, anorexia, rapid respiration, convulsions and emaciation and death.
Dogs: Pups are severely affected; there is weakness, rough hair coat, emaciation and diarrhea with or without blood and death.
Poultry: Diarrhoea with or without blood and mucus casts, stunted growth, decline in egg production, listlessness, anorexia, anaemia, dehydration and death.","signs, coccidiosis",livestock keeping,know what,False
What are the measures to control snail borne diseases?,animal diseases,"Ponds/lakes etc. should be cleaned from time to time and fenced.
Animals should not be allowed to drink water from snail contaminated ponds/lakes etc.
Dung of animals should be put in dung pits, to destroy the eggs of trematode parasites.
Number of snails can be reduced by fishes, crabs, ducks etc. which feed on these snails.
Herbal control by plant extracts of Neem, Aak, Datura and Safeda etc.
Chemicals like sodium pentachlorophenate, copper sulphate etc. can be used.","control, snail borne, diseases",livestock keeping,know what,False
What are general measures to control parasitic diseases?,animal diseases,"Provide clean water and good quality fodder to animals
Maintain good hygienic conditions in the shed as regular and proper cleaning of the shed
Isolation of the diseased animal from the healthy ones and their proper treatment.
Giving periodic preventive medication to all apparently healthy animals
Vaccination may be done.
Control the intermediate hosts/vectors in the life cycle of parasites using suitable drugs.","control, parasitic, diseases",livestock keeping,know what,False
How do the arthropods harm the animals?,animal diseases,"Annoyance, blood loss, lower hide value, myiasis, skin inflammation, allergy, production losses, and act as vectors of economically important infectious diseases.","arthropods, harm, animals",livestock keeping,know how,False
What is myiasis?,animal diseases,Myiasis is an animal disease caused by parasitic dipterous fly larvae feeding on the host’s necrotic or living tissue.,myiasis,livestock keeping,know what,False
What are the common ways to control myiasis?,animal diseases,"Control the population of adult flies.
Eliminate the larvae by applying pressure around the lesion and use of forceps.
The wound must be cleaned and dressed.
Treat livestock with the use of slow release boluses containing ivermectin which can provide long term protection against the larvae development.","control, myiasis",livestock keeping,know what,False
